FMR1	3775	fragile X mental retardation 1	5598	470	fragile x mental retardation 1 | hFMR1 | FMRP-depleted | FMRP-independent | FMRP-interacting | fmr1-expressing | FMRP-homologous | FMR1-expressing | FMRP-regulated | FMRP-immunoreactivity | FMR1-messenger | FMR1-coding | FMRP-Mediated | Fmr1-phenotype | FMRP-target | FMRP-mediated | hFMRP | FMRP-microtubule | Fmr1-related | Fmr1-messenger | FMRP-associated | Fmrp | FMRP-FXR1P_amp_#8211 | FMRP-controlled | FMRP-binding | FMRP-polyribosome | fMRP | FMRP-induced | FMRPs | Fmr1-knockout | FMR1-positive | FMRP-positive | FMRP-lacking | FMRP-driven | Fmrp-deficient | Fmr1-fibroblasts | FMRP-cellular | fmr-1 | FMRP-deleted | Fmr1-deficient | fmr1-KO-mouse | FMR1-knockout | Fmr-1 | FMRP-negative | FMRP-mGluR5 | FMR1-mediated | FMRP-immunoreactive | FMRP-related | FMR1-associated | fmr1-containing | FMRP-containing | FMRP-dependent | FMRP-reactive | FMRP-dysregulated | FMRP-bearing | FMR-1 | FRAXA | Fmr1-phenotype. | FMRP-transfected | FMR1-interacting | fmr1-knockout | FMR1-modifier | FMRP-deficient | 	8111372,8348153,8401578,7726212,8033209,7726157,7795588,8557260,8844057,8844058,9020841,9030614,9144249,9146995,9259278,9512393,9647544,9817930,9916838,10208156,10331599,10546896,10556305,10565502,10612627,10613508,10676814,10686356,10854106,10912798,10964711,11007554,11007555,11019488,11416194,11438589,11438699,11440196,11489899,11694672,11719189,11719274,11733054,11733059,11860268,11886710,11918286,11918288,12018775,12052912,12086633,12086643,12086644,12112448,12112449,12112451,12147688,12183220,12407031,12417522,12427968,12447824,12460560,12575950,12581522,12591163,12597853,12629412,12633995,12691840,12700164,12711073,12751467,12788036,12818167,12818175,12837692,12867085,12900573,12941608,12948442,12952862,13130134,14526171,14530299,14559349,14570712,14613971,14614133,14699609,14703574,14736752,14993603,14994285,14994289,14994290,15000674,15028757,15082225,15119819,15183715,15202995,15215302,15317853,15329415,15330685,15356064,15380484,15381419,15385157,15464890,15475576,15498496,15503812,15516998,15530658,15558314,15564573,15583137,15588577,15621528,15634690,15649335,15680513,15684045,15748850,15755515,15780932,15818485,15820853,15861180,15880753,15892134,15930016,15964283,15968590,16000371,16006558,16055059,16076950,16092937,16093389,16098133,16098134,16098135,16130171,16161415,16199166,16239243,16246864,16274646,16280193,16314562,16386219,16418001,16452252,16495445,16500716,16510718,16511857,16571602,16626504,16631377,16647847,16675531,16707258,16790844,16809002,16823030,16844227,16908410,16919243,16940977,16957381,17021751,17065172,17132937,17136426,17166860,17170008,17178403,17209129,17254795,17279084,17376973,17417632,17435464,17477822,17519220,17521574,17548835,17562585,17592139,17698005,17698009,17698010,17699670,17804960,17823967,17848915,17881655,17913902,17923234,17932962,17940072,17959805,17978095,17982588,18004590,18028882,18054394,18088371,18093976,18094233,18160642,18163424,18184796,18225979,18226259,18321984,18329113,18339278,18348275,18354025,18369442,18413472,18451862,18452182,18472227,18474609,18479837,18485833,18495661,18539120,18570292,18571098,18589395,18590840,18621663,18628675,18638539,18655836,18668039,18686748,18717648,18760699,18762595,18786256,18805096,18808779,18830682,18835858,18843266,18923513,18929657,18930145,18957214,19005053,19005212,19036346,19056494,19097999,19105204,19193898,19195802,19214804,19233246,19244359,19306863,19325170,19362146,19377084,19422761,19436069,19464371,19465673,19487368,19487564,19545994,19556253,19571888,19574929,19640847,19659572,19666116,19675232,19724010,19738924,19783417,19796712,19837168,19838324,19842197,19846466,19888420,19918329,19936290,19996900,20059484,20064924,20071534,20087182,20159450,20159451,21423490,20188650,20197067,20228810,20386739,20410144,20434996,20442204,20457613,20473314,20497624,20503316,20504994,20513237,20534828,20537992,20600866,20643379,20682298,20685971,20691595,20702695,20713728,20819625,20858229,20861447,20935171,20935173,20937127,21049485,21072162,21084617,21090964,21108954,21159962,21170301,21220020,21273427,21307257,21316452,21333716,21404421,21430043,21484200,21490210,21490592,21516088,21522181,21571007,21572337,21596027,21596744,21617890,21645877,21651511,21658607,21700878,21723920,21807882,21827901,21933836,22009348,22009361,22017584,22022532,22022567,22080836,22128095,22149120,22167342,22219377,22227453,22267161,22351071,22357842,22384253,22435671,22483378,22507827,22523638,22528549,22539853,22542183,22543975,22573456,22579290,22612820,22619118,22641815,22708486,22774600,22779005,22810393,22863780,22900020,22903700,22909818,22924671,23033162,23046047,23111161,23219959,23250915,23260144,23264567,23299245,23300470,23373759,23444371,23536755,23557641,23626835,23640459,23719910,23719926,23727436,23778581,23831253,23874213,23885228,23897859,23900139,23912945,24003006,24046358,24047560,24062571,24157186,24166828,24232444,24241749,24259304,24344294,24408886,24462888,24518745,24553731,24570656,24659806,24712991,24712992,24743386,24773431,24811383,24838064,24858908,25013385,25229717,25348928,25399540,25436181,25466251,25483109,25552647,25606363,25613838,25695134,25733852,25788698,25844398,25956630,25979174,26020477,26182420,26190969,26239490,
GRIA1	4571	glutamate receptor, ionotropic, AMPA 1	1056	322	glutamate receptor | ampa 1 | glutamate receptor ionotropic ampa 1 | ampa1 | glutamate receptor ionotropic ampa1 | GluR1-immunoreactive | gluR-A | mGluR1 | Gria1 | gria1 | GluRA | GRIA1 | GluR-1 | Glur1 | GluR1-containing | GLUR1 | gluR1 | GluR1-positive | GluR-A | 	2461856,2687018,1678755,8504792,8164524,8400473,7818246,7970002,7994657,8182436,7502080,7739683,8612137,9302524,8813384,9018383,9130780,9143496,9144248,9300412,9334386,9347614,9364064,9367294,9397013,9519258,9551785,9622645,9726649,9761317,9829688,9856858,9987029,10071707,10080384,10195181,10226754,10350646,10372507,10421561,10514810,10515165,10533044,10736372,10744030,10751678,10758147,10837796,10868778,10882038,10904966,10925151,11050320,11075833,11077068,11113304,11119696,11226667,11249719,11259116,11294928,11311902,11336779,11416194,11445181,11483247,11494362,11516827,11588188,11684349,11687274,11706102,11717408,11750069,11754517,11761468,11797444,11860268,11888243,11889232,11978855,12111476,12473083,12493535,12558566,12573517,12591163,12648752,12682273,12751467,12788036,12788521,12843291,12865968,12871085,12909079,12957649,14614133,14675153,14715940,14748563,15028757,15152022,15175651,15194111,15210307,15234100,15269337,15464890,15471589,15516998,15517312,15548671,15571756,15574732,15635412,15684045,15686970,15694259,15730874,15730879,15748850,15857425,15861180,16007083,16011839,16014725,16076950,16093389,16101559,16237345,16246103,16308478,16317590,16344150,16359920,16361114,16375723,16381805,16397579,16399702,16406232,16418001,16452252,16455265,16495941,16500716,16563443,16598677,16647138,16647847,16684968,16707258,16714485,16817193,16819533,16823030,16844227,16940764,16968951,17062563,17088867,17099361,17136426,17191130,17215396,17223264,17234699,17251419,17251432,17254795,17275285,17343748,17363260,17376622,17402970,17417632,17514195,17554622,17597167,17632064,17728457,17765719,17848915,17895407,17940877,17988802,18004590,18046310,18058824,18065236,18093696,18094233,18160640,18160642,18247129,18279319,18321984,18329113,18346726,18378264,18474609,18488994,18490108,18556211,18616955,18625223,18635022,18678283,18706480,18717648,18760699,18786562,18824690,18830682,18843266,18930145,18957214,19056494,19162139,19189459,19191004,19198120,19214804,19244359,19287316,19330849,19384590,19442733,19481570,19535947,19559397,19571888,19605630,19639292,19640847,19660672,19675232,19734897,19796712,19838324,20071534,20188650,20228810,20392956,20472138,20519532,20534828,20643379,20696320,20714031,20858229,21078304,21084617,21167025,21430043,21439793,21460645,21490592,21571007,21617890,21677170,21694734,21729715,21807099,21876464,21978141,21985866,22009348,22009355,22017584,22108622,22266371,22267161,22293605,22351071,22448230,22483378,22487868,22539775,22539853,22558107,22584867,22711749,22735490,22779005,22900020,23023733,23086105,23091460,23133800,23134496,23179642,23184648,23250915,23339457,23340501,23444371,23487788,23523633,23638902,23645137,23730969,23735822,24047560,24096619,24162932,24623040,24712992,24853428,24978397,25064045,25081016,25204434,25228858,25326002,25555912,25726823,25918374,26000221,26245973,26312887,
FXR1	4023	fragile X mental retardation, autosomal homolog 1	579	315	fragile x mental retardation | fragile x mental retardation related protein 1 | FXR1 | fxr1 | Fxr1 | hFXR1 | 	8401578,7964863,8033209,7795588,9030614,9144249,9259278,9817930,10208156,10546896,10556305,10613508,10676814,10686126,10686356,10813808,10912798,10964711,11001622,11007554,11007555,11019488,11171404,11416194,11438589,11438699,11440196,11719189,11733059,11860268,11918288,12018775,12052912,12086644,12112449,12112451,12147688,12183220,12407031,12417522,12427968,12460560,12591163,12597853,12629412,12691840,12711073,12751467,12818167,12818175,12837692,12867085,12900573,12941608,13130134,14526171,14559349,14570712,14613971,14614133,14703574,14736752,14994288,14994290,15028757,15082225,15119819,15183715,15207920,15215302,15317853,15329415,15356064,15380484,15381419,15385157,15464890,15475576,15503812,15516998,15564573,15583137,15588577,15659339,15680513,15684045,15755515,15772149,15818485,15820853,15861180,15878626,15880753,15964283,15968590,16000371,16006558,16076950,16092937,16093389,16098134,16130171,16190876,16280193,16314562,16330711,16375723,16418001,16452252,16495445,16510718,16571602,16647847,16675531,16723529,16790844,16801975,16809002,16823030,16844227,16861896,16908410,16919243,16940977,16957381,17046729,17097142,17105769,17132937,17136426,17170008,17209129,17254795,17376973,17417632,17514714,17548835,17592139,17698010,17699670,17804960,17848915,17881655,17923234,17932962,17939777,17959805,17978095,17982588,18028882,18048652,18054394,18093976,18094233,18160642,18163424,18184796,18225979,18321984,18354025,18369442,18407364,18451862,18452182,18472227,18474609,18479837,18485833,18495661,18539120,18571098,18589395,18632687,18638539,18668039,18686748,18717648,18760699,18762595,18786256,18805096,18830682,18835858,18929657,18930145,18957214,19005053,19005212,19014379,19056494,19097999,19193898,19214804,19244359,19325170,19436069,19465673,19487368,19487564,19490023,19556253,19571888,19574929,19608740,19640847,19659572,19675232,19699259,19724010,19738924,19783417,19796712,19837168,19838324,19842197,19888420,19918329,19996900,20059484,20064924,20071534,20159450,20159451,21423512,20188650,20197067,20228810,20303187,20386739,20424386,20434996,20442204,20457613,20473314,20534828,20537992,20685971,20691595,20702695,20713728,20935173,20937127,21049485,21072162,21084617,21090964,21108954,21159962,21273427,21307257,21333716,21354978,21404421,21430043,21460645,21490210,21516088,21572337,21596027,21596744,21933836,22009348,22009361,22022532,22022567,22080836,22128095,22219377,22227453,22267161,22351071,22357842,22435671,22483378,22539853,22549954,22573456,22708486,22780306,22863780,22924671,23018800,23250915,23260144,23264567,23444371,23557641,23640459,23778581,23831253,23900139,24046358,24047560,24062571,24241749,24344294,24462888,24518745,24570656,24659806,24712992,24773431,24811383,24838064,25483109,25733852,25788698,25844398,25956630,26020477,26182420,26239490,26240334,26377859,26484266,
BDNF	1033	brain-derived neurotrophic factor	2673	264	brain derived neurotrophic factor | neurotrophin | BDNF-dependent | BDNF-releasing | BDNF-immunoreactive | bdnf | BDNF-driven | mBDNF | BDNF-overexpressing | BDNF-infused | BDNF-treated | BDNF-induced | BDNF-transgene | BDNF-deficient | BDNF-expressing | BDNF-evoked | BDNF-mediated | BDNF-correlated | BDNF-positive | BDNF-blocking | Bdnf | BDNF-regulated | BDNF-like | BDNF-transfected | BDNF-promoted | BDNF-secretion | 	1815605,1334662,1829904,8282072,8506025,8090729,7623154,7649227,8603626,8696348,8705303,8714518,9138429,9184113,9551783,9753162,9757041,9758212,10051225,10080384,10101239,10226754,10330344,10436046,10501176,10501474,10553579,10713570,10891580,10915805,10996502,10999533,11115729,11124444,11163887,11259499,11345515,11357950,11502257,11516827,11583980,11593233,11750069,11998687,12040499,12062481,12121312,12207950,12404007,12427830,12428029,12460560,12460607,12493535,12575826,12689771,12751467,12853291,14614102,14623885,14660786,14985924,15002051,15033926,15123022,15193778,15207239,15236469,15254214,15282290,15362162,15362175,15464890,15469390,15518235,15519530,15571756,15614785,15640150,15667930,15820552,15893581,15975854,15977646,15987247,15999564,16023256,16023301,16175575,16181614,16198489,16280193,16286931,16381805,16383139,16388108,16394192,16397579,16399702,16418001,16519925,16567737,16580143,16584842,16650613,16806297,16819624,16836633,16901909,16968951,16990009,17040478,17046689,17055560,17070505,17118456,17191130,17209129,17221321,17275285,17344385,17428348,17442827,17468742,17512983,17597167,17848915,17913902,17919129,17919302,17919921,17920573,17949819,18004590,18077703,18093696,18093740,18208542,18328784,18329113,18434040,18452889,18497100,18534255,18635022,18674649,18717648,18718866,18753648,18773962,18786562,18834866,18843266,18845182,18922788,18923513,19109909,19187292,19195802,19238500,19309534,19362378,19394173,19507062,19598002,19603519,19631241,19639292,19660672,19686240,19700661,19734897,19737418,19777341,19783417,19796712,19936134,20074705,20101519,20105316,20146928,20188215,20434997,20609110,20618400,20696320,20705520,20719879,20800506,20921514,20951500,21056667,21087489,21269288,21316312,21339379,21387003,21435392,21453447,21567907,21575186,21600960,21601610,21647150,21715638,21772813,21970827,22009348,22435671,22437340,22442695,22537092,22584867,22710967,22781140,22810393,22847207,22933152,23065398,23115194,23179590,23216574,23227143,23263886,23300470,23320097,23348913,23681158,23684954,23727436,23735822,23791853,23821414,23831365,24022672,24041458,24050404,24082824,24096619,24118418,24128677,24138845,24223849,24289826,24472844,24480134,24494679,24623040,24648914,24659806,24671870,24726983,24801281,24978397,25052836,25072321,25275256,25385582,25405315,25849768,26136672,26706021,27349436,26525923,
NUFIP2	17634	nuclear fragile X mental retardation protein interacting protein 2	411	257	fragile x mental retardation protein | 82 fip | 82 kd fmrp interacting protein | fip 82 | 82-FIP | NUFIP2 | 	9030614,9144249,9146995,9259278,10546896,10613508,10686126,10686356,10964711,11001622,11007554,11007555,11438589,11438699,11440196,11719189,11860268,11918288,12018775,12052912,12112451,12147688,12417522,12427968,12460560,12591163,12597853,12711073,12751467,12818167,12818175,12837692,12867085,12941608,13130134,14559349,14570712,14613971,14614133,14703574,14736752,14994288,14994290,15028757,15082225,15119819,15183715,15207920,15317853,15329415,15380484,15381419,15385157,15464890,15475576,15503812,15516998,15564573,15583137,15659339,15680513,15684045,15818485,15820853,15861180,15880753,15964283,16006558,16076950,16092937,16093389,16098134,16130171,16190876,16280193,16314562,16330711,16418001,16452252,16495445,16510718,16571602,16647847,16723529,16790844,16809002,16823030,16844227,16861896,16908410,16957381,17097142,17132937,17136426,17170008,17209129,17254795,17376973,17417632,17548835,17592139,17699670,17848915,17881655,17913902,17923234,17932962,17959805,17978095,17982588,18004590,18028882,18054394,18093976,18094233,18160642,18163424,18184796,18225979,18321984,18354025,18407364,18451862,18452182,18472227,18474609,18479837,18495661,18539120,18571098,18632687,18638539,18668039,18686748,18717648,18760699,18762595,18786256,18805096,18830682,18929657,18957214,19005053,19005212,19014379,19056494,19097999,19193898,19214804,19244359,19325170,19436069,19465673,19487368,19487564,19490023,19556253,19571888,19574929,19608740,19640847,19659572,19675232,19724010,19738924,19783417,19837168,19838324,19842197,19918329,19996900,20059484,20064924,20071534,20159450,20159451,21423512,20188650,20228810,20386739,20424386,20434996,20442204,20457613,20473314,20534828,20537992,20600866,20685971,20691595,20702695,20713728,20935173,20937127,21049485,21084617,21090964,21108954,21159962,21273427,21307257,21333716,21404421,21430043,21460645,21490210,21516088,21572337,21596027,21596744,21933836,22009348,22009361,22022532,22022567,22080836,22128095,22219377,22227453,22267161,22351071,22357842,22435671,22483378,22539853,22708486,22863780,22924671,23250915,23260144,23264567,23444371,23640459,23778581,23831253,23900139,24046358,24047560,24062571,24232444,24241749,24344294,24462888,24518745,24570656,24659806,24712992,24773431,24811383,24838064,25483109,25788698,25844398,25956630,26020477,26182420,26239490,
GABRE	4085	gamma-aminobutyric acid (GABA) A receptor, epsilon	731	234	gaba receptor | gaba a receptor | 	7257731,2867252,7992017,8004465,8985701,9015822,9165404,9169529,9284057,9332882,9551785,9692713,9696297,9726649,9771750,10226752,10226754,10372507,10693935,10744030,10882038,10891580,10922517,10924871,10925151,10933458,10934271,10987573,11050320,11074268,11113304,11119696,11130918,11218066,11218071,11249963,11294928,11389177,11588188,11606641,11706102,11750069,11830265,11923441,11978855,12003857,12093096,12163110,12354637,12383280,12458025,12535936,12558566,12628349,12657704,12689771,12700690,12751467,12763063,12763087,12770556,12859682,12871034,12921352,12941474,12967684,13679415,14567959,14600748,14678765,14993039,14999076,15062973,15111008,15193778,15210304,15215304,15218107,15322674,15379895,15471589,15516997,15571756,15574732,15680343,15695331,15730874,15755515,15802192,15820552,15895085,15921884,15996746,16000229,16007083,16011839,16091474,16093389,16198153,16199166,16254490,16359920,16399702,16402094,16410023,16413123,16456667,16487150,16495941,16678865,16707256,16714485,16793570,16819624,16895979,16901909,17046729,17052216,17079662,17141336,17150371,17235515,17275285,17277936,17316408,17353214,17363260,17367875,17428906,17485199,17497229,17507170,17512983,17514195,17549438,17590448,17671772,17699670,17762320,17765719,17767396,17848915,17870057,17910576,17913902,17986225,18046310,18093696,18093740,18094250,18160640,18180303,18256250,18346939,18382465,18394707,18407248,18414393,18488994,18490108,18547546,18560438,18615734,18652899,18759624,18773962,18786562,18977371,19204149,19214804,19261879,19329560,19332325,19417176,19440746,19513830,19605630,19632051,19639292,19643577,19675232,19701204,19710312,19796712,19880095,20188215,20381588,20404047,20436377,20451596,20505082,20659539,20705520,20726514,20824453,21044182,21057732,21061166,21071388,21076337,21093502,21256718,21333634,21439793,21490592,21635239,21694734,21840377,21901839,21913006,22082659,22351071,22396425,22472195,22543975,22750453,22943148,23190109,23205959,23216582,23422026,23478657,23681488,23965606,24041600,24062648,24160694,24162932,24213682,24511736,24909990,25295256,25695134,26439655,
GFAP	4235	glial fibrillary acidic protein	1119	216	glial fibrillary acidic protein | GFAP-knockout | GFAP-immunolabeling | GFAP-immunostained | GFAP-stained | GFAP-immunopositive | GFAP-immunoreactive | Gfap | GFAP-immunohistochemistry | GFAP-expressing | GFAP-negative | GFAP-positive | GFAP-labeled | GFAP-immunoreactivity | GFAP-immunostaining | 	2132049,1334663,8311992,8416742,8345107,7610762,7877439,7593360,8811510,9015822,9307299,9367293,9406888,9690674,9754951,9761327,9814817,9842769,10199631,10479715,10683297,10739639,10749288,10797615,10841364,10936189,10947829,11029624,11072094,11356873,11425894,11563628,11706102,11746449,11769312,11770880,11834590,12111813,12151797,12393261,12427837,12504590,12562500,12751467,12770556,12821374,12907269,12931206,12932438,14678765,14706787,14725628,14992814,14999811,15026125,15193289,15210304,15330336,15451367,15488315,15517312,15571756,15595259,15635412,15686970,15694259,15755683,15814818,15850669,15894059,15921884,15977646,16023586,16095751,16215456,16226389,16262631,16302851,16314562,16342620,16393152,16413123,16442740,16495941,16512356,16564496,16624297,16712812,16762327,16797850,16806953,16820800,16828199,16859833,16860990,16871537,16922884,16998727,17021751,17028426,17045697,17049346,17150306,17150371,17186374,17223178,17251419,17356385,17442246,17514714,17515952,17535102,17589506,17719647,17765737,17804792,17823967,17904674,17937860,17940072,17952067,18006137,18047653,18093696,18093740,18162777,18171687,18223167,18226170,18247129,18281021,18317782,18329113,18367594,18455706,18514431,18585900,18661234,18666439,18674649,18675260,18773962,18784294,18786562,18955049,19056494,19170755,19220410,19287316,19490932,19499324,19506888,19546860,19580685,19598002,19605630,19643577,19700661,19710312,19729208,19777341,19833108,19865488,19909815,20087180,20206619,20214679,20220782,20226181,20347981,20404047,20505763,20542126,20576027,20595955,20600866,20613633,20659431,20680301,20688264,20721566,20826656,21056667,21062901,21093549,21099718,21185901,21211543,21224066,21294720,21419122,21552296,21572337,21647150,21748931,21749318,21833841,21845539,21955106,21970827,22252917,22686573,22710967,22766033,23052190,23225633,23303048,23623775,23692496,24047952,24100251,25053176,25341474,25849768,26058696,26190183,
INS	6081	insulin	596	212	insulin | proinsulin | 	14074357,4660112,1176974,194305,37067,92595,19643063,6338343,2968891,1672174,1306598,7519254,7895866,8006680,7593360,9102580,9546324,9613423,9739991,10063326,10080384,10817486,11067973,11259777,11356873,11566460,11603805,11724422,11739333,11759373,11823113,11881568,11978855,11994347,12027912,12029447,12062481,12140666,12186577,12370846,12427837,12493535,12532560,12551733,12612284,12823565,12932438,12935913,12948616,14636339,14700552,14872028,15067323,15142366,15210307,15269337,15488315,15516997,15519530,15550575,15562827,15571756,15894402,15905045,16052044,16188578,16282359,16355811,16373242,16462201,16670688,16713332,16806953,16814730,16819533,16875466,16940764,16979414,17057406,17079592,17223178,17344385,17377202,17394201,17435464,17437511,17462645,17604107,17633104,17719647,17870057,17980672,18006137,18093740,18212493,18261258,18339375,18455873,18463892,18786562,18790819,18926551,18929079,19061857,19184101,19184102,19188736,19212759,19262152,19384590,19507062,19535947,19686775,19699774,19777341,19796712,19910450,19931493,19966786,20033705,20074705,20101519,21395517,20442815,20495972,20538404,20890685,21056667,21063035,21117445,21419122,21424864,21448846,21790594,21844704,22494156,22516768,22545359,22613486,22645062,22694920,22801357,22855155,22998375,23085399,23127262,23135822,23159358,23306210,23524941,23575242,23588704,23597520,23755911,23832106,24043724,24076030,24096619,24105600,24219064,24246146,24275182,24280215,24304093,24398402,24399015,24482062,24606795,24623040,24637311,24668897,24802182,24878678,24894933,24918225,24931352,24947991,24978898,25092546,25151533,25164495,25248098,25286962,25299635,25459054,25552647,25668678,25787676,25913366,25915078,25924881,25960244,26019740,26074377,26097002,26107678,26159692,26226414,26250143,26268944,26286172,26297882,26311777,20301289,26358774,26369378,26399329,26446763,26526202,26572800,26581601,26718500,
TSC1	12362	tuberous sclerosis 1	1509	148	hamartin | TSC-associated | TSC1- | TSC1-linked | Tsc-deficient | Tsc1-conditional | TSC-deficient | TSC-related | TSC-cortical | Tsc1-lacking | Tsc1-deficient | 	8943076,9394312,10065200,10349994,10534239,11583980,11904337,12037687,12466966,12504590,12751467,14999811,15150271,15235806,15362169,15562827,15563020,16077935,16114042,16286931,16300636,16341938,16382052,16393152,16459994,16462201,16487150,16713332,16770618,16818174,16901420,17028374,17143299,17185137,17275285,17279540,17376623,17386056,17848915,18067135,18308511,18495876,18621663,18644690,18794346,18794882,19150975,19220410,19420259,19545994,19583781,19694899,21547713,19796712,19817806,20087180,20087182,20146692,20219643,20613633,20643380,20680301,20687497,20709508,20882401,21062901,21115397,21224066,21293268,21345208,21364653,21403110,21407264,21419848,21449900,21624971,21631205,21677170,21827857,21890410,21907282,21949518,21970827,22021912,22025691,22327361,22523638,22558107,22578218,22605628,22626986,22710967,22763451,22974335,22980037,23049074,23123587,23136410,23159330,23250422,23265840,23359422,23393158,23399947,23446718,23485365,23514105,23622183,23644232,23664552,23664616,23687350,23696872,23703312,23744272,23796861,23812052,23853020,23885228,23966835,24143074,24227713,24486221,24512506,24518170,24574959,24599401,24662006,24672426,24712991,24917535,25114803,25160545,25695134,25986747,26022167,26051878,26158416,26159692,26190969,26224859,26296489,26303409,26393489,26564073,26693177,26706013,26849906,
FOS	3796	v-fos FBJ murine osteosarcoma viral oncogene homolog	1333	146	c fos | ap 1 | activator protein 1 | FOS-immunoreactivity | Fos-labeled | Fos-related | C-fos | FOS-like | Fos-regulated | c-fos | C-FOS | AP-1 | c-fos-like | cfos | 	2106445,1662302,1359374,8345107,7994657,7593360,7637862,8971761,8978735,8985707,9015822,9056388,9127720,9169517,9300412,9344557,9539810,9593956,9622645,10022280,10080384,10199631,10226752,10229334,10350646,10404113,10407097,10553579,10683280,10762378,10802753,10863144,10882038,10915805,10922517,10925151,10996502,11121541,11516826,11641538,11738929,11750069,11860268,12040499,12121307,12424220,12428029,12445633,12457064,12493535,12528378,12711546,12751467,12767918,12821374,12859682,12946611,14511344,14514034,14635217,14678765,14678837,15175651,15199138,15207239,15236469,15530658,15571756,15730879,15800379,15814569,15850669,15921884,15987247,16007083,16198489,16240350,16397579,16598677,16633904,16677768,16806297,16968951,17156380,17186374,17191130,17207935,17277936,17279540,17320061,17514356,17604107,17937860,17957222,17988802,18036781,18062938,18177862,18207134,18317782,18455706,18536702,18567395,18652899,18717648,18955571,19109909,19204149,19481570,19490932,19507062,19513830,19578717,19639292,19661183,19700661,19729208,19782683,19796712,20105316,20203623,20228810,20404047,20411357,20446212,20519532,20607582,20691658,20833150,20952458,21093520,21093549,22395208,22943535,23303048,23861142,24080505,24185030,24275182,24291671,24425186,24771617,24978397,25102410,25675181,26341542,
